date_id,day_of_week,month_name,year
D877,Wednesday,10,2015
D878,Friday,9,2015
D879,Monday,9,2015
D880,Saturday,9,2015
D881,Sunday,9,2015
D882,Thursday,9,2015
D883,Tuesday,9,2015
D884,Wednesday,9,2015
D885,Friday,8,2015
D886,Monday,8,2015
D887,Saturday,8,2015
D888,Sunday,8,2015
D889,Thursday,8,2015
D890,Tuesday,8,2015
D891,Wednesday,8,2015
D892,Friday,7,2015
D893,Monday,7,2015
D894,Saturday,7,2015
D895,Sunday,7,2015
D896,Thursday,7,2015
D897,Tuesday,7,2015
D898,Wednesday,7,2015
D899,Friday,6,2015
D900,Monday,6,2015
D901,Saturday,6,2015
D902,Sunday,6,2015
D903,Thursday,6,2015
D904,Tuesday,6,2015
D905,Wednesday,6,2015
D906,Friday,5,2015
D907,Monday,5,2015
D908,Saturday,5,2015
D909,Sunday,5,2015
D910,Thursday,5,2015
D911,Tuesday,5,2015
D912,Wednesday,5,2015
D913,Friday,4,2015
D914,Monday,4,2015
D915,Saturday,4,2015
D916,Sunday,4,2015
D917,Thursday,4,2015
D918,Tuesday,4,2015
D919,Wednesday,4,2015
D920,Friday,3,2015
D921,Monday,3,2015
D922,Saturday,3,2015
D923,Sunday,3,2015
D924,Thursday,3,2015
D925,Tuesday,3,2015
D926,Wednesday,3,2015
D927,Friday,2,2015
D928,Monday,2,2015
D929,Saturday,2,2015
D930,Sunday,2,2015
D931,Thursday,2,2015
D932,Tuesday,2,2015
D933,Wednesday,2,2015
D934,Friday,1,2015
D935,Monday,1,2015
D936,Saturday,1,2015
D937,Sunday,1,2015
D938,Thursday,1,2015
D939,Tuesday,1,2015
D940,Wednesday,1,2015
D941,Friday,12,2014
D942,Monday,12,2014
D943,Saturday,12,2014
D944,Sunday,12,2014
D945,Thursday,12,2014
D946,Tuesday,12,2014
D947,Wednesday,12,2014
D948,Friday,11,2014
D949,Monday,11,2014
D950,Saturday,11,2014
D951,Sunday,11,2014
D952,Thursday,11,2014
D953,Tuesday,11,2014
D954,Wednesday,11,2014
D955,Friday,10,2014
D956,Monday,10,2014
D957,Saturday,10,2014
D958,Sunday,10,2014
D959,Thursday,10,2014
D960,Tuesday,10,2014
D961,Wednesday,10,2014
D962,Friday,9,2014
D963,Monday,9,2014
D964,Saturday,9,2014
D965,Sunday,9,2014
D966,Thursday,9,2014
D967,Tuesday,9,2014
D968,Wednesday,9,2014
D969,Friday,8,2014
D970,Monday,8,2014
D971,Saturday,8,2014
D972,Sunday,8,2014
D973,Thursday,8,2014
D974,Tuesday,8,2014
D975,Wednesday,8,2014
D976,Friday,7,2014
D977,Monday,7,2014
D978,Saturday,7,2014
D979,Sunday,7,2014
D980,Thursday,7,2014
D981,Tuesday,7,2014
D982,Wednesday,7,2014
D983,Friday,6,2014
D984,Monday,6,2014
D985,Saturday,6,2014
D986,Sunday,6,2014
D987,Thursday,6,2014
D988,Tuesday,6,2014
D989,Wednesday,6,2014
D990,Friday,5,2014
D991,Monday,5,2014
D992,Saturday,5,2014
D993,Sunday,5,2014
D994,Thursday,5,2014
D995,Tuesday,5,2014
D996,Wednesday,5,2014
D997,Friday,4,2014
D998,Monday,4,2014
D999,Saturday,4,2014
D1000,Sunday,4,2014
D1001,Thursday,4,2014
D1002,Tuesday,4,2014
D1003,Wednesday,4,2014
D1004,Friday,3,2014
D1005,Monday,3,2014
D1006,Saturday,3,2014
D1007,Sunday,3,2014
D1008,Thursday,3,2014
D1009,Tuesday,3,2014
D1010,Wednesday,3,2014
D1011,Friday,2,2014
D1012,Monday,2,2014
D1013,Saturday,2,2014
D1014,Sunday,2,2014
D1015,Thursday,2,2014
D1016,Tuesday,2,2014
D1017,Wednesday,2,2014
D1018,Friday,1,2014
D1019,Monday,1,2014
D1020,Saturday,1,2014
D1021,Sunday,1,2014
D1022,Thursday,1,2014
D1023,Tuesday,1,2014
D1024,Wednesday,1,2014
D1025,Friday,12,2013
D1026,Monday,12,2013
D1027,Saturday,12,2013
D1028,Sunday,12,2013
D1029,Thursday,12,2013
D1030,Tuesday,12,2013
D1031,Wednesday,12,2013
D1032,Friday,11,2013
D1033,Monday,11,2013
D1034,Saturday,11,2013
